touchpoint_id,customer_id,session_id,journey_id,touchpoint_date,touchpoint_datetime,touchpoint_hour,day_of_week,week_number,month,quarter,year,channel,channel_category,campaign_name,utm_source,utm_medium,touchpoint_position,total_touchpoints,is_first_touch,is_last_touch,position_label,days_since_first_touch,customer_segment,region,device_type,session_duration_sec,pages_viewed,bounce_flag,touchpoint_cost_usd,converted,journey_converted,conversion_date,days_to_conversion,order_value_usd,journey_order_value,is_duplicate_flag
TP-0000001,CUST-00001,SESS-CUST-00001-1,JRN-CUST-00001,2024-09-22,2024-09-22 00:00:00,0.0,Sunday,38,9,Q3,2024,Paid Social,Paid,Awareness_Jan,facebook,paid_social,1,3,1,0,First Touch,0,Returning Customer,Middle East & Africa,Desktop,5465,4,0,1.0882,0,0,,,0.0,0.0,0
TP-0000002,CUST-00001,SESS-CUST-00001-2,JRN-CUST-00001,2024-09-26,2024-09-26 00:00:00,0.0,Thursday,39,9,Q3,2024,Paid Search,Paid,Product_Keywords_Q4,google,cpc,2,3,0,0,Mid Touch,8,Returning Customer,Middle East & Africa,Desktop,118,3,0,4.2298,0,0,,,0.0,0.0,0
TP-0000003,CUST-00001,SESS-CUST-00001-3,JRN-CUST-00001,2024-10-01,2024-10-01 00:00:00,0.0,Tuesday,40,10,Q4,2024,Paid Search,Paid,Competitor_Conquest_Q3,google,cpc,3,3,0,1,Last Touch,16,Returning Customer,Middle East & Africa,Mobile,212,1,1,3.1395,0,0,,,0.0,0.0,0
TP-0000004,CUST-00002,SESS-CUST-00002-1,JRN-CUST-00002,2024-05-10,2024-05-10 00:00:00,0.0,Friday,19,5,Q2,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,1,5,1,0,First Touch,0,New Customer,North America,Mobile,95,2,0,1.4929,0,1,2024-05-15,5.0,0.0,86.09,0
TP-0000005,CUST-00002,SESS-CUST-00002-2,JRN-CUST-00002,2024-05-11,2024-05-11 00:00:00,0.0,Saturday,19,5,Q2,2024,Email,Owned,Abandoned_Cart,email,email,2,5,0,0,Mid Touch,1,New Customer,North America,Mobile,212,2,0,0.1229,0,1,2024-05-15,5.0,0.0,86.09,0
TP-0000006,CUST-00002,SESS-CUST-00002-3,JRN-CUST-00002,2024-05-12,2024-05-12 00:00:00,0.0,Sunday,19,5,Q2,2024,Paid Social,Paid,Awareness_Jan,facebook,paid_social,3,5,0,0,Mid Touch,2,New Customer,North America,Mobile,94,5,0,0.859,0,1,2024-05-15,5.0,0.0,86.09,0
TP-0000007,CUST-00002,SESS-CUST-00002-4,JRN-CUST-00002,2024-05-13,2024-05-13 00:00:00,0.0,Monday,20,5,Q2,2024,Paid Social,Paid,Xmas_Dec,facebook,paid_social,4,5,0,0,Mid Touch,3,New Customer,North America,Tablet,82,6,0,2.1559,0,1,2024-05-15,5.0,0.0,86.09,0
TP-0000008,CUST-00002,SESS-CUST-00002-5,JRN-CUST-00002,2024-05-14,2024-05-14 00:00:00,0.0,Tuesday,20,5,Q2,2024,SEO/Organic,Earned,Blog_Traffic,organic,organic,5,5,0,1,Last Touch,5,New Customer,North America,Mobile,420,1,1,0.0,1,1,2024-05-15,5.0,86.09,86.09,0
TP-0000009,CUST-00003,SESS-CUST-00003-1,JRN-CUST-00003,2024-07-31,2024-07-31 00:00:00,0.0,Wednesday,31,7,Q3,2024,SEO/Organic,Earned,Organic_Search,organic,organic,1,5,1,0,First Touch,0,Loyal Customer,North America,Mobile,119,3,0,0.0,0,0,,,0.0,0.0,0
TP-0000010,CUST-00003,SESS-CUST-00003-2,JRN-CUST-00003,2024-08-02,2024-08-02 00:00:00,0.0,Friday,31,8,Q3,2024,Email,Owned,Welcome_Series,email,email,2,5,0,0,Mid Touch,2,Loyal Customer,North America,Mobile,325,5,0,0.0927,0,0,,,0.0,0.0,0
TP-0000011,CUST-00003,SESS-CUST-00003-3,JRN-CUST-00003,2024-08-04,2024-08-04 00:00:00,0.0,Sunday,31,8,Q3,2024,Email,PAID,Win_Back_Campaign,email,email,3,5,0,0,Mid Touch,5,Loyal Customer,North America,Mobile,346,4,0,0.2291,0,0,,,0.0,0.0,0
TP-0000012,CUST-00003,SESS-CUST-00003-4,JRN-CUST-00003,2024-08-05,2024-08-05 00:00:00,0.0,Monday,32,8,Q3,2024,Paid Search,Paid,RLSA_Retargeting,google,cpc,4,5,0,0,Mid Touch,7,Loyal Customer,North America,Desktop,5,3,0,4.3268,0,0,,,0.0,0.0,0
TP-0000013,CUST-00003,SESS-CUST-00003-5,JRN-CUST-00003,2024-08-07,2024-08-07 00:00:00,0.0,Wednesday,32,8,Q3,2024,Paid Search,Paid,Brand_Keywords_Q4,google,cpc,5,5,0,1,Last Touch,10,Loyal Customer,North America,Desktop,155,2,0,1.5382,0,0,,,0.0,0.0,0
TP-0000014,CUST-00004,SESS-CUST-00004-1,JRN-CUST-00004,2024-01-03,2024-01-03 00:00:00,0.0,Wednesday,1,1,Q1,2024,Influencer,Paid,BF_Partners_Q4,influencer,influencer,1,2,1,0,First Touch,0,New Customer,North America,Mobile,87,5,0,2.6746,0,1,2024-01-07,6.0,0.0,79.6,0
TP-0000015,CUST-00004,SESS-CUST-00004-2,JRN-CUST-00004,2024-01-05,2024-01-05 00:00:00,0.0,Friday,1,1,Q1,2024,Paid Social,Paid,Awareness_Jan,facebook,paid_social,2,2,0,1,Last Touch,6,New Customer,North America,Mobile,155,4,0,1.7581,1,1,2024-01-07,6.0,79.6,79.6,0
TP-0000016,CUST-00005,SESS-CUST-00005-1,JRN-CUST-00005,2024-06-28,2024-06-28 00:00:00,0.0,Friday,26,6,Q2,2024,Paid Social,Paid,Back_to_School_Aug,facebook,paid_social,1,1,1,1,First Touch,0,Returning Customer,North America,Mobile,88,7,0,2.1694,0,0,,,0.0,0.0,0
TP-0000017,CUST-00006,SESS-CUST-00006-1,JRN-CUST-00006,2024-07-03,2024-07-03 00:00:00,0.0,Wednesday,27,7,Q3,2024,Email,Owned,Win_Back_Campaign,email,email,1,4,1,0,First Touch,0,New Customer,North America,Desktop,210,4,0,0.1767,0,0,,,0.0,0.0,0
TP-0000018,CUST-00006,SESS-CUST-00006-2,JRN-CUST-00006,2024-07-03,2024-07-03 00:00:00,0.0,Wednesday,27,7,Q3,2024,Paid Search,Paid,Brand_Keywords_Q1,google,cpc,2,4,0,0,Mid Touch,0,New Customer,North America,Mobile,234,2,0,4.3176,0,0,,,0.0,0.0,0
TP-0000019,CUST-00006,SESS-CUST-00006-3,JRN-CUST-00006,2024-07-03,2024-07-03 00:00:00,0.0,Wednesday,27,7,Q3,2024,SEO/Organic,Earned,Blog_Traffic,organic,organic,3,4,0,0,Mid Touch,0,New Customer,North America,Mobile,265,1,1,0.0,0,0,,,0.0,0.0,0
TP-0000020,CUST-00006,SESS-CUST-00006-4,JRN-CUST-00006,2024-07-03,2024-07-03 00:00:00,0.0,Wednesday,27,7,Q3,2024,Paid Search,Paid,Generic_Search_Q2,google,cpc,4,4,0,1,Last Touch,1,New Customer,North America,Desktop,130,7,0,3.2917,0,0,,,0.0,0.0,0
